sample,ch0,ch1,ch2,ch3,ch0_v,ch1_v,ch2_v,ch3_v
103,-606103,-634388,-581182,-607610,-0.173407459,-0.181499863,-0.166277504,-0.173838615
104,-605880,-584248,-629645,-607397,-0.173343658,-0.167154694,-0.180142879,-0.173777676
105,-605827,-586189,-627873,-607228,-0.173328495,-0.167710018,-0.179635906,-0.173729324
106,-605933,-602496,-612309,-607206,-0.173358822,-0.172375488,-0.175183010,-0.173723030
107,-605986,-623386,-592067,-607376,-0.173373985,-0.178352165,-0.169391727,-0.173771667
108,-605806,-618176,-596788,-607238,-0.173322487,-0.176861572,-0.170742416,-0.173732185
109,-606007,-597340,-617222,-607196,-0.173379993,-0.170900345,-0.176588631,-0.173720169
110,-606082,-584258,-629921,-607249,-0.173401451,-0.167157555,-0.180221844,-0.173735332
111,-605891,-586433,-627937,-607429,-0.173346806,-0.167779827,-0.179654217,-0.173786831
112,-605965,-636669,-579304,-607259,-0.173367977,-0.182152462,-0.165740204,-0.173738194
113,-605636,-634451,-581086,-607302,-0.173273849,-0.181517887,-0.166250038,-0.173750496
114,-606007,-618208,-596671,-607450,-0.173379993,-0.176870728,-0.170708942,-0.173792839
115,-605583,-597414,-616914,-607302,-0.173258686,-0.170921516,-0.176500511,-0.173750496
116,-605933,-602591,-612182,-607535,-0.173358822,-0.172402668,-0.175146675,-0.173817158
117,-605827,-623311,-592162,-607259,-0.173328495,-0.178330708,-0.169418907,-0.173738194
118,-605848,-636382,-579240,-607556,-0.173334503,-0.182070351,-0.165721893,-0.173823166
119,-606050,-634547,-581415,-607440,-0.173392296,-0.181545353,-0.166344166,-0.173789978
120,-605997,-584226,-629772,-607228,-0.173377132,-0.167148399,-0.180179214,-0.173729324
121,-605933,-586274,-627895,-607185,-0.173358822,-0.167734337,-0.179642200,-0.173717022
122,-605806,-602464,-612256,-607482,-0.173322487,-0.172366333,-0.175167847,-0.173801994
123,-606347,-623545,-592120,-607206,-0.173477268,-0.178397655,-0.169406891,-0.173723030
124,-605785,-618145,-596936,-607111,-0.173316479,-0.176852703,-0.170784760,-0.173695850
125,-606061,-597456,-617031,-607387,-0.173395443,-0.170933533,-0.176533985,-0.173774815
126,-606103,-584173,-629995,-607259,-0.173407459,-0.167133236,-0.180243015,-0.173738194
127,-605912,-586433,-627746,-607270,-0.173352814,-0.167779827,-0.179599571,-0.173741341
128,-606156,-636488,-579473,-607302,-0.173422623,-0.182100677,-0.165788555,-0.173750496
129,-605954,-634589,-581192,-607567,-0.173364830,-0.181557369,-0.166280365,-0.173826313
130,-606007,-618314,-597043,-607196,-0.173379993,-0.176901054,-0.170815372,-0.173720169
131,-605848,-597499,-617084,-607312,-0.173334503,-0.170945835,-0.176549149,-0.173753357
132,-606167,-602432,-612320,-607482,-0.173425770,-0.172357178,-0.175186157,-0.173801994
133,-606103,-623513,-592046,-607482,-0.173407459,-0.178388500,-0.169385719,-0.173801994
134,-606198,-636478,-579272,-607302,-0.173434639,-0.182097816,-0.165731049,-0.173750496
135,-606018,-634419,-581266,-607546,-0.173383141,-0.181508732,-0.166301537,-0.173820305
136,-606156,-584290,-630017,-607641,-0.173422623,-0.167166710,-0.180249310,-0.173847485
137,-606241,-586327,-627958,-607387,-0.173446941,-0.167749500,-0.179660225,-0.173774815
138,-606103,-602644,-612394,-607185,-0.173407459,-0.172417831,-0.175207329,-0.173717022
139,-606050,-623460,-592311,-607525,-0.173392296,-0.178373337,-0.169461536,-0.173814297
140,-606177,-618420,-596629,-607461,-0.173428631,-0.176931381,-0.170696926,-0.173795986
141,-606007,-597605,-616882,-607419,-0.173379993,-0.170976162,-0.176491356,-0.173783970
142,-605912,-584035,-630038,-607397,-0.173352814,-0.167093754,-0.180255318,-0.173777676
